#  lambda[A]      flux[erg cm^-2 s^-1 A^-1]
 6890.6975     8.519226e-01
 6892.4724     8.302434e-01
 6894.2473     8.431410e-01
 6896.0222     8.004996e-01
 6897.7971     8.398786e-01
 6899.5720     8.834934e-01
 6901.3470     8.075994e-01
 6903.1219     8.788797e-01
 6904.8968     8.830125e-01
 6906.6717     8.678401e-01
 6908.4466     8.373857e-01
 6910.2216     8.462551e-01
 6911.9965     8.592589e-01
 6913.7714     9.293416e-01
 6915.5463     8.609979e-01
 6917.3212     8.983724e-01
 6919.0961     9.243522e-01
 6920.8711     9.938301e-01
 6922.6460     9.447077e-01
 6924.4209     8.386413e-01
 6926.1958     8.364211e-01
 6927.9707     8.558017e-01
 6929.7456     8.470851e-01
 6931.5206     8.203611e-01
 6933.2955     8.684880e-01
 6935.0704     8.858306e-01
 6936.8453     8.455592e-01
 6938.6202     8.728496e-01
 6940.3952     8.283774e-01
 6942.1701     8.231306e-01
 6943.9450     9.261758e-01
 6945.7199     9.968868e-01
 6947.4948     8.838146e-01
 6949.2697     9.051917e-01
 6951.0447     8.182678e-01
 6952.8196     8.436096e-01
 6954.5945     8.583909e-01
 6956.3694     8.024313e-01
 6958.1443     8.989818e-01
 6959.9192     8.791527e-01
 6961.6942     8.592356e-01
 6963.4691     8.573220e-01
 6965.2440     8.904610e-01
 6967.0189     8.755568e-01
 6968.7938     8.300916e-01
 6970.5688     9.036357e-01
 6972.3437     8.395947e-01
 6974.1186     8.922471e-01
 6975.8935     8.775632e-01
 6977.6684     8.477549e-01
 6979.4433     8.063477e-01
 6981.2183     7.710098e-01
 6982.9932     7.573753e-01
 6984.7681     8.007805e-01
 6986.5430     8.243663e-01
 6988.3179     8.100108e-01
 6990.0928     7.707780e-01
 6991.8678     7.560182e-01
 6993.6427     8.105898e-01
 6995.4176     7.929460e-01
 6997.1925     7.925755e-01
 6998.9674     8.160239e-01
 7000.7424     7.661540e-01
 7002.5173     7.772175e-01
 7004.2922     7.857793e-01
 7006.0671     8.221400e-01
 7007.8420     8.232563e-01
 7009.6169     8.270519e-01
 7011.3919     8.630844e-01
 7013.1668     8.075393e-01
 7014.9417     7.972201e-01
 7016.7166     7.193626e-01
 7018.4915     7.399369e-01
 7020.2664     6.958756e-01
 7022.0414     6.731730e-01
 7023.8163     7.298954e-01
 7025.5912     7.224099e-01
 7027.3661     6.903422e-01
 7029.1410     7.321785e-01
 7030.9160     7.605835e-01
 7032.6909     7.717916e-01
 7034.4658     7.219868e-01
 7036.2407     7.193176e-01
 7038.0156     7.213890e-01
 7039.7905     7.027351e-01
 7041.5655     6.856444e-01
 7043.3404     7.080756e-01
 7045.1153     7.134493e-01
 7046.8902     2.655846e-01

