#  lambda[A]      flux[erg cm^-2 s^-1 A^-1]
 4483.9090     6.972402e-01
 4485.6839     7.303936e-01
 4487.4589     7.708657e-01
 4489.2338     7.319763e-01
 4491.0087     7.089543e-01
 4492.7836     7.528936e-01
 4494.5585     7.806754e-01
 4496.3334     8.612280e-01
 4498.1084     7.836564e-01
 4499.8833     7.192137e-01
 4501.6582     7.368470e-01
 4503.4331     7.146046e-01
 4505.2080     7.034894e-01
 4506.9830     7.140037e-01
 4508.7579     8.335978e-01
 4510.5328     7.998044e-01
 4512.3077     7.960045e-01
 4514.0826     8.904827e-01
 4515.8575     8.479772e-01
 4517.6325     8.212446e-01
 4519.4074     7.290264e-01
 4521.1823     7.937872e-01
 4522.9572     7.952120e-01
 4524.7321     7.544818e-01
 4526.5071     7.881568e-01
 4528.2820     8.187092e-01
 4530.0569     7.835972e-01
 4531.8318     6.686984e-01
 4533.6067     6.652281e-01
 4535.3816     7.906676e-01
 4537.1566     7.305968e-01
 4538.9315     7.863933e-01
 4540.7064     8.777192e-01
 4542.4813     7.511172e-01
 4544.2562     7.879941e-01
 4546.0311     7.726393e-01
 4547.8061     7.899454e-01
 4549.5810     7.566063e-01
 4551.3559     7.798382e-01
 4553.1308     7.344564e-01
 4554.9057     7.204758e-01
 4556.6807     6.957642e-01
 4558.4556     6.587055e-01
 4560.2305     6.935389e-01
 4562.0054     8.140082e-01
 4563.7803     8.080115e-01
 4565.5552     8.049844e-01
 4567.3302     7.887432e-01
 4569.1051     7.207468e-01
 4570.8800     7.547930e-01
 4572.6549     7.701022e-01
 4574.4298     7.690741e-01
 4576.2047     7.706991e-01
 4577.9797     7.699417e-01
 4579.7546     7.308770e-01
 4581.5295     7.412677e-01
 4583.3044     7.045944e-01
 4585.0793     6.974133e-01
 4586.8543     8.006659e-01
 4588.6292     7.976103e-01
 4590.4041     8.020774e-01
 4592.1790     7.991627e-01
 4593.9539     7.691469e-01
 4595.7288     7.905817e-01
 4597.5038     7.602444e-01
 4599.2787     7.268022e-01
 4601.0536     7.232445e-01
 4602.8285     7.270820e-01
 4604.6034     7.404360e-01
 4606.3783     6.535304e-01
 4608.1533     8.061247e-01
 4609.9282     8.777337e-01
 4611.7031     8.176102e-01
 4613.4780     8.130639e-01
 4615.2529     8.205451e-01
 4617.0279     8.147424e-01
 4618.8028     7.548626e-01
 4620.5777     6.869450e-01
 4622.3526     7.244857e-01
 4624.1275     8.377476e-01
 4625.9024     7.499945e-01
 4627.6774     7.898418e-01
 4629.4523     8.633562e-01
 4631.2272     9.002141e-01
 4633.0021     8.845768e-01
 4634.7770     7.586872e-01
 4636.5519     6.730587e-01
 4638.3269     7.549108e-01
 4640.1018     7.988213e-01
 4641.8767     7.927020e-01
 4643.6516     8.253080e-01
 4645.4265     7.374189e-01
 4647.2015     8.444672e-01
 4648.9764     8.436907e-01
 4650.7513     7.176791e-01
 4652.5262     6.951122e-01
 4654.3011     7.647710e-01
 4656.0760     8.282473e-01
 4657.8510     8.561656e-01
 4659.6259     8.487846e-01
 4661.4008     8.535196e-01
 4663.1757     8.517840e-01
 4664.9506     9.166243e-01
 4666.7256     8.293228e-01
 4668.5005     7.699382e-01
 4670.2754     8.081845e-01
 4672.0503     7.903212e-01
 4673.8252     8.014421e-01
 4675.6001     7.836856e-01
 4677.3751     8.735370e-01
 4679.1500     8.222939e-01
 4680.9249     7.568049e-01
 4682.6998     7.874337e-01
 4684.4747     7.822434e-01
 4686.2496     8.332003e-01
 4688.0246     8.606352e-01
 4689.7995     8.324012e-01
 4691.5744     8.162783e-01
 4693.3493     7.669588e-01
 4695.1242     8.149909e-01
 4696.8992     7.972059e-01
 4698.6741     7.782480e-01
 4700.4490     8.094836e-01
 4702.2239     7.779263e-01
 4703.9988     8.129951e-01
 4705.7737     7.212552e-01
 4707.5487     7.409988e-01
 4709.3236     7.771834e-01
 4711.0985     7.220914e-01
 4712.8734     7.418747e-01
 4714.6483     7.879768e-01
 4716.4232     7.856051e-01
 4718.1982     7.724078e-01
 4719.9731     8.194198e-01
 4721.7480     7.629724e-01
 4723.5229     7.895413e-01
 4725.2978     8.202317e-01
 4727.0728     8.476020e-01
 4728.8477     8.193404e-01
 4730.6226     7.643803e-01
 4732.3975     8.120540e-01
 4734.1724     7.835025e-01
 4735.9473     8.084246e-01
 4737.7223     7.997964e-01
 4739.4972     7.994793e-01
 4741.2721     7.913474e-01
 4743.0470     8.741001e-01
 4744.8219     8.221136e-01
 4746.5968     7.958535e-01
 4748.3718     7.945149e-01
 4750.1467     8.053853e-01
 4751.9216     8.676800e-01
 4753.6965     8.934906e-01
 4755.4714     8.019240e-01
 4757.2464     7.655070e-01
 4759.0213     8.260160e-01
 4760.7962     7.729409e-01
 4762.5711     7.451096e-01
 4764.3460     7.109994e-01
 4766.1209     7.664639e-01
 4767.8959     7.982918e-01
 4769.6708     7.322333e-01
 4771.4457     8.027130e-01
 4773.2206     8.198527e-01
 4774.9955     7.905980e-01
 4776.7704     7.920058e-01
 4778.5454     7.266285e-01
 4780.3203     7.932110e-01
 4782.0952     7.044005e-01
 4783.8701     7.972280e-01
 4785.6450     8.311805e-01
 4787.4200     7.996485e-01
 4789.1949     8.091615e-01
 4790.9698     8.355867e-01
 4792.7447     7.962430e-01
 4794.5196     8.001798e-01
 4796.2945     8.855768e-01
 4798.0695     8.614897e-01
 4799.8444     8.721465e-01
 4801.6193     8.987141e-01
 4803.3942     8.451169e-01
 4805.1691     7.720559e-01
 4806.9441     8.145212e-01
 4808.7190     8.402187e-01
 4810.4939     8.015348e-01
 4812.2688     8.474984e-01
 4814.0437     8.353567e-01
 4815.8186     8.570699e-01
 4817.5936     8.493567e-01
 4819.3685     8.871415e-01
 4821.1434     8.507698e-01
 4822.9183     8.223796e-01
 4824.6932     8.693973e-01
 4826.4681     7.933839e-01
 4828.2431     8.365280e-01
 4830.0180     8.208854e-01
 4831.7929     7.876525e-01
 4833.5678     8.624895e-01
 4835.3427     8.070621e-01
 4837.1177     7.782548e-01
 4838.8926     7.600896e-01
 4840.6675     8.008448e-01
 4842.4424     8.295702e-01
 4844.2173     7.453526e-01
 4845.9922     7.889117e-01
 4847.7672     8.013819e-01
 4849.5421     7.186161e-01
 4851.3170     7.771888e-01
 4853.0919     8.283444e-01
 4854.8668     7.753145e-01
 4856.6417     7.332942e-01
 4858.4167     8.236727e-01
 4860.1916     1.131728e+00
 4861.9665     1.456014e+00
 4863.7414     1.753411e+00
 4865.5163     1.708591e+00
 4867.2913     1.379620e+00
 4869.0662     1.056146e+00
 4870.8411     8.079091e-01
 4872.6160     7.104093e-01
 4874.3909     6.879714e-01
 4876.1658     6.537633e-01
 4877.9408     6.130526e-01
 4879.7157     6.371924e-01
 4881.4906     6.912313e-01
 4883.2655     7.490129e-01
 4885.0404     7.235270e-01
 4886.8153     7.217448e-01
 4888.5903     7.267091e-01
 4890.3652     7.127606e-01
 4892.1401     7.500880e-01
 4893.9150     7.636693e-01
 4895.6899     7.999269e-01
 4897.4649     8.187426e-01
 4899.2398     8.325561e-01
 4901.0147     8.297916e-01
 4902.7896     8.109490e-01
 4904.5645     8.088970e-01
 4906.3394     7.856215e-01
 4908.1144     8.213120e-01
 4909.8893     8.025774e-01
 4911.6642     8.570536e-01
 4913.4391     7.944350e-01
 4915.2140     7.692533e-01
 4916.9889     7.044897e-01
 4918.7639     7.426133e-01
 4920.5388     9.044642e-01
 4922.3137     8.700323e-01
 4924.0886     7.701580e-01
 4925.8635     7.774051e-01
 4927.6385     8.007448e-01
 4929.4134     8.124804e-01
 4931.1883     8.523569e-01
 4932.9632     8.351626e-01
 4934.7381     8.084413e-01
 4936.5130     7.984127e-01
 4938.2880     8.032069e-01
 4940.0629     7.811947e-01
 4941.8378     7.924492e-01
 4943.6127     7.704139e-01
 4945.3876     8.118983e-01
 4947.1626     8.160523e-01
 4948.9375     8.158317e-01
 4950.7124     9.180952e-01
 4952.4873     8.752480e-01
 4954.2622     8.891278e-01
 4956.0371     8.606676e-01
 4957.8121     8.490906e-01
 4959.5870     1.018280e+00
 4961.3619     1.005881e+00
 4963.1368     9.808466e-01
 4964.9117     9.227187e-01
 4966.6866     8.441421e-01
 4968.4616     8.312574e-01
 4970.2365     8.982236e-01
 4972.0114     8.917949e-01
 4973.7863     8.080249e-01
 4975.5612     8.339878e-01
 4977.3362     8.279394e-01
 4979.1111     8.214542e-01
 4980.8860     9.132091e-01
 4982.6609     8.374928e-01
 4984.4358     8.059708e-01
 4986.2107     7.800439e-01
 4987.9857     7.829345e-01
 4989.7606     8.828443e-01
 4991.5355     8.411146e-01
 4993.3104     8.719062e-01
 4995.0853     8.649625e-01
 4996.8602     9.087709e-01
 4998.6352     8.845038e-01
 5000.4101     8.371114e-01
 5002.1850     8.977703e-01
 5003.9599     9.093120e-01
 5005.7348     1.042574e+00
 5007.5098     1.132038e+00
 5009.2847     1.245383e+00
 5011.0596     1.249106e+00
 5012.8345     1.174507e+00
 5014.6094     9.906328e-01
 5016.3843     9.033588e-01
 5018.1593     8.340239e-01
 5019.9342     8.415713e-01
 5021.7091     8.116808e-01
 5023.4840     8.300908e-01
 5025.2589     8.458134e-01
 5027.0338     8.797020e-01
 5028.8088     8.508607e-01
 5030.5837     8.504497e-01
 5032.3586     8.711518e-01
 5034.1335     8.056660e-01
 5035.9084     8.471244e-01
 5037.6834     7.882382e-01
 5039.4583     8.066041e-01
 5041.2332     8.003086e-01
 5043.0081     8.256061e-01
 5044.7830     9.052249e-01
 5046.5579     8.657451e-01
 5048.3329     7.996174e-01
 5050.1078     8.393415e-01
 5051.8827     7.923309e-01
 5053.6576     8.832740e-01
 5055.4325     9.484668e-01
 5057.2074     8.236746e-01
 5058.9824     6.562591e-01
 5060.7573     8.949667e-01
 5062.5322     9.166642e-01
 5064.3071     8.589396e-01
 5066.0820     8.916633e-01
 5067.8570     8.466237e-01
 5069.6319     7.912940e-01
 5071.4068     8.332666e-01
 5073.1817     8.204634e-01
 5074.9566     9.215512e-01
 5076.7315     8.192815e-01
 5078.5065     8.046014e-01
 5080.2814     7.793674e-01
 5082.0563     7.990000e-01
 5083.8312     8.906211e-01
 5085.6061     7.831565e-01
 5087.3811     8.093149e-01
 5089.1560     8.732288e-01
 5090.9309     8.080760e-01
 5092.7058     8.935265e-01
 5094.4807     8.929114e-01
 5096.2556     8.296508e-01
 5098.0306     8.460868e-01
 5099.8055     8.458045e-01
 5101.5804     8.625360e-01
 5103.3553     7.582883e-01
 5105.1302     8.404635e-01
 5106.9051     8.840274e-01
 5108.6801     8.576590e-01
 5110.4550     8.981437e-01
 5112.2299     8.443719e-01
 5114.0048     8.650014e-01
 5115.7797     8.265846e-01
 5117.5547     8.570053e-01
 5119.3296     9.016244e-01
 5121.1045     8.865092e-01
 5122.8794     8.996074e-01
 5124.6543     9.180906e-01
 5126.4292     8.945308e-01
 5128.2042     8.611284e-01
 5129.9791     8.275102e-01
 5131.7540     8.402820e-01
