vel[km/s] freq[MHz]   fv[mJy]      polyfit
  -305.4  1421.854159   -34.7500   -40.4186
  -297.2  1421.815096   -25.9100   -40.3807
  -288.9  1421.776034   -13.2700   -40.3435
  -280.7  1421.736971   -12.9100   -40.3072
  -272.5  1421.697909   -19.1800   -40.2717
  -264.2  1421.658846   -22.4300   -40.2370
  -256.0  1421.619784   -27.7100   -40.2031
  -247.8  1421.580721   -26.3800   -40.1701
  -239.5  1421.541659   -29.0300   -40.1379
  -231.3  1421.502596   -42.2300   -40.1065
  -223.1  1421.463534   -50.4500   -40.0760
  -214.8  1421.424471   -43.6300   -40.0464
  -206.6  1421.385409   -40.5100   -40.0176
  -198.4  1421.346346   -46.0200   -39.9898
  -190.1  1421.307284   -53.9800   -39.9628
  -181.9  1421.268221   -59.0000   -39.9367
  -173.7  1421.229159   -46.8200   -39.9115
  -165.4  1421.190096   -35.1500   -39.8871
  -157.2  1421.151034   -26.4000   -39.8637
  -149.0  1421.111971   -23.5700   -39.8412
  -140.7  1421.072909   -38.5800   -39.8197
  -132.5  1421.033846   -70.3300   -39.7990
  -124.3  1420.994784  -110.2000   -39.7793
  -116.0  1420.955721  -113.9000   -39.7605
  -107.8  1420.916659   -83.0700   -39.7426
   -99.5  1420.877596   -78.3700   -39.7257
   -91.3  1420.838534   -91.7100   -39.7097
   -83.1  1420.799471   -85.6500   -39.6947
   -74.8  1420.760409   -87.1500   -39.6806
   -66.6  1420.721346   -90.1900   -39.6675
   -58.3  1420.682284   -84.1100   -39.6554
   -50.1  1420.643221   -95.3700   -39.6442
   -41.9  1420.604159  -116.9000   -39.6339
   -33.6  1420.565096  -186.2000   -39.6247
   -25.4  1420.526034  -348.7000   -39.6164
   -17.1  1420.486971  -500.0000   -39.6090
    -8.9  1420.447909  -773.5000   -39.6027
    -0.6  1420.408846  -956.3000   -39.5973
     7.6  1420.369784  -479.5000   -39.5929
    15.8  1420.330721    90.5700   -39.5895
    24.1  1420.291659   312.3000   -39.5870
    32.3  1420.252596   611.6000   -39.5856
    40.6  1420.213534  1053.0000   -39.5851
    48.8  1420.174471  1482.0000   -39.5856
    57.1  1420.135409  1735.0000   -39.5871
    65.3  1420.096346  1722.0000   -39.5896
    73.6  1420.057284  1583.0000   -39.5931
    81.8  1420.018221  1429.0000   -39.5975
    90.1  1419.979159  1271.0000   -39.6030
    98.3  1419.940096  1144.0000   -39.6094
   106.6  1419.901034  1076.0000   -39.6168
   114.8  1419.861971  1037.0000   -39.6252
   123.1  1419.822909  1000.0000   -39.6346
   131.3  1419.783846   962.5000   -39.6449
   139.6  1419.744784   918.2000   -39.6563
   147.8  1419.705721   857.2000   -39.6686
   156.1  1419.666659   793.3000   -39.6819
   164.3  1419.627596   758.5000   -39.6962
   172.6  1419.588534   740.5000   -39.7114
   180.8  1419.549471   707.3000   -39.7276
   189.1  1419.510409   678.0000   -39.7448
   197.4  1419.471346   692.4000   -39.7630
   205.6  1419.432284   729.3000   -39.7821
   213.9  1419.393221   764.0000   -39.8022
   222.1  1419.354159   803.1000   -39.8232
   230.4  1419.315096   822.5000   -39.8452
   238.6  1419.276034   843.9000   -39.8681
   246.9  1419.236971   878.8000   -39.8920
   255.2  1419.197909   889.4000   -39.9169
   263.4  1419.158846   897.5000   -39.9427
   271.7  1419.119784   915.2000   -39.9694
   279.9  1419.080721   944.3000   -39.9970
   288.2  1419.041659  1016.0000   -40.0256
   296.5  1419.002596  1117.0000   -40.0551
   304.7  1418.963534  1198.0000   -40.0855
   313.0  1418.924471  1243.0000   -40.1168
   321.2  1418.885409  1268.0000   -40.1490
   329.5  1418.846346  1322.0000   -40.1821
   337.8  1418.807284  1412.0000   -40.2162
   346.0  1418.768221  1473.0000   -40.2511
   354.3  1418.729159  1520.0000   -40.2869
   362.6  1418.690096  1582.0000   -40.3235
   370.8  1418.651034  1615.0000   -40.3611
   379.1  1418.611971  1616.0000   -40.3995
   387.4  1418.572909  1624.0000   -40.4387
   395.6  1418.533846  1702.0000   -40.4788
   403.9  1418.494784  1888.0000   -40.5198
   412.2  1418.455721  2134.0000   -40.5616
   420.4  1418.416659  2374.0000   -40.6042
   428.7  1418.377596  2458.0000   -40.6476
   437.0  1418.338534  2123.0000   -40.6918
   445.2  1418.299471  1364.0000   -40.7369
   453.5  1418.260409   609.3000   -40.7827
   461.8  1418.221346   189.3000   -40.8293
   470.0  1418.182284    50.8500   -40.8767
   478.3  1418.143221    14.9200   -40.9249
   486.6  1418.104159   -19.3700   -40.9738
   494.8  1418.065096   -41.7000   -41.0235
   503.1  1418.026034   -41.1600   -41.0739
   511.4  1417.986971   -39.8200   -41.1250
   519.7  1417.947909   -24.3200   -41.1769
