     [A]        [1e-15 erg/cm^2/s/A]
     5045.95    2.81317
     5046.95    2.80007
     5047.95    2.71870
     5048.95    2.74570
     5049.94    2.73784
     5050.94    2.73023
     5051.94    2.84233
     5052.94    2.85494
     5053.94    2.87536
     5054.94    3.03482
     5055.94    3.01360
     5056.94    3.02485
     5057.94    3.08796
     5058.94    2.93404
     5059.93    2.86579
     5060.93    2.73630
     5061.93    2.61765
     5062.93    2.82065
     5063.93    3.05943
     5064.93    2.92892
     5065.93    2.69235
     5066.93    2.76278
     5067.93    2.87107
     5068.93    2.92280
     5069.92    2.79611
     5070.92    2.95139
     5071.92    2.75123
     5072.92    2.81244
     5073.92    2.83404
     5074.92    2.70609
     5075.92    2.91089
     5076.92    3.16796
     5077.92    2.81556
     5078.92    2.89644
     5079.91    3.00914
     5080.91    2.67309
     5081.91    2.93513
     5082.91    2.82485
     5083.91    2.81942
     5084.91    2.95650
